Hash,FromAddress,ToAddress,Amount,Memo,Timestamp
B30C2251AC7E09A858FA0EA25B158B33155BDD569C716EEC70C7905813BCB73A,r41w7Qy4gbmi4xC4L2fqEFvcXwUFGGc25P,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,4.800000,core123yun62a77gp87jqjct8muwmk37n6hx5er4uec:1007961752909,2023-05-24 05:36:10 +0000 UTC
5FB7459B0EC79655C3547DE50DFF41E7FAFFC54C761EF10B1C53D60E8C163307,rG4tS7AdhFvHmGj9gBicdeXqFmJFTuBgBE,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,325.000000,core1ec6pnag4fwdfla75quecfvhyf07pt5rwwwl2ar:1007961752909,2023-05-24 05:17:50 +0000 UTC
2237509F4D4DF84470A585A5A0508D50D507920D08C2C36B0488AFED94DD5FA3,r3Bqspqmrk8rNCt5Wp4J5boR29AudHZZUC,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,6000.105232,core10sdkmfdz5ajznf0q9fd966h6akf6vm5xzkvyyf:1007961752909,2023-05-24 04:25:40 +0000 UTC
F6351E5D7ADEBAE9596F43F608352CF4162F36D2C5D4B0FC3BDEFC2FAD9FD23E,r3Bqspqmrk8rNCt5Wp4J5boR29AudHZZUC,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,48.000000,core10sdkmfdz5ajznf0q9fd966h6akf6vm5xzkvyyf:1007961752909,2023-05-24 03:52:10 +0000 UTC
CF6043266E0DB5B3A656C6967E76A53D5112AC52AC0F94699EE2378F6DF4CF65,r9qvx1ktGkDohdptnJNaYqFA8DCYixKJSY,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,181.000000,core1qnvwd8vkryk53r6eaew8qzjafh3uyctpexjwlw:1007961752909,2023-05-24 01:44:01 +0000 UTC
91EAE357A264446163744545321443174A4EB44F5D8FACC5AFB34435D9911171,rBvSxVV5fMpbaYku6kQnWxYGgnqPE17P82,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,10.000000,core1d6g3vm55ap4g06sufe8u2dqarj6phnghrmj8v6:1007961752909,2023-05-24 01:19:10 +0000 UTC
939C5CF533EBFC3F1DC1F4C74830477AB59DF7A71C6C3A5D5E8B3C0D4449EA55,rJWuGEaNQNxcGbcrL6fvXo6opy92Feccxd,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,761.254177,core1szdmerkyf7hdk6s3n78ajv439hvk43z8jrfjlm:1007961752909,2023-05-24 01:04:52 +0000 UTC
FFF5AD6CD803DB36D606F3BB42D93CBCB7FBE93F24B3CBC4E7CBEB5917F40CE4,rDLbZEsaXMUWWFCPhqhhNrCZJVfEwC4Jcs,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,583.187880,core16htkvz4qqnskmdf9ahvya9x75hz3ec604lkyqg:1007961752909,2023-05-24 00:57:30 +0000 UTC
13D2849C22CFA288EA22DFE5832F8310CC20710CBFF6F38FA096D6D372D02F29,rhoNTFedRRaDp887hq1CNvXot7Dhs4wZma,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,499.755692,core1rlx87jvv4nwh8na2r6sex5jm9xauerxc6cz0h2:1007961752909,2023-05-24 00:24:50 +0000 UTC
FC58E893E5A62F38184BF5E12BFA38F721EB9BE240FE42D2989546F383D08673,rwhbKYip5unFEBFvkEdhHA5ADmNqnGLnS2,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,55.000000,core1paz5qjce0denwhsxs3dg73qp908x880ajfs67t:1007961752909,2023-05-24 00:12:42 +0000 UTC
